000001.850|       0.0000kb|      0.0000kb added| ALWAYS| SharedConfigPath: E:\users\Owner\My Documents\DESKTOP STUFF\Games\LeagueSandbox\League of Legends\League-of-Legends-4-20\RADS\projects/lol_air_client/releases/0.0.1.119/deploy/preferences/
000001.852|       0.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resizing the window and retrieving monitor info
000001.852|       0.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Initial VideoMode(93da168) and resolution (1920 x 1080) 
000001.852|       0.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: VideoMode(93da168) and resolution (960 x 540) 
000001.865|       0.0000kb|      0.0000kb added| ALWAYS| In Riot::Win::Resize: Resized window to resolution 1920x1080
000001.865|       0.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1920, YRes = 1080, BPP = 32,  Flags=4) enter
000001.866|       0.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000002.029|       0.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000002.162|       0.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000002.385|       0.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000002.420|       0.0000kb|      0.0000kb added| ALWAYS| Waiting for client ID
000009.889|       0.0000kb|      0.0000kb added| ALWAYS| {"messageType":"riot__game_client__connection_info","message_body":"Hard Connect"}
000009.889|       0.0000kb|      0.0000kb added| ALWAYS| Received client ID
000009.891|       0.0000kb|      0.0000kb added| ALWAYS| Set focus to app
000009.891|       0.0000kb|      0.0000kb added| ALWAYS| Input started
000009.907|       0.0000kb|      0.0000kb added| ALWAYS| Query Status Req started
000009.939|       0.0000kb|      0.0000kb added| ALWAYS| Query Status Req ended
000009.939|       0.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
