2014-11-17T16-55-13: LogOut_File: : logfile started
2014-11-17T16-55-13: Net Status: low-level initialize success.
2014-11-17T16-55-13: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-17T16-55-13: time = time of logging
2014-11-17T16-55-13: address = address of IP address
2014-11-17T16-55-13: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-17T16-55-13: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-17T16-55-13: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-17T16-55-13: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-17T16-55-13: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-17T16-55-13: sent = number of packets sent. Spikes can indicate lag.
2014-11-17T16-55-13: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-17T16-55-13: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-17T16-55-13: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-17T16-55-13: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-17T16-55-13: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-17T16-55-13: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-17T16-55-13: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1358,X.X.X.X,76,110,0,0,0,3,396,159,0,0,0,0
12304,X.X.X.X,8278,1156,7184,434,1,33,64,15,0,0,6,0
22543,X.X.X.X,9442,1463,632,65,1,51,60,5,0,0,9,0
32680,X.X.X.X,14024,2439,3210,600,1,69,60,4,0,0,10,0
42894,X.X.X.X,19442,3423,3840,600,2,88,60,4,0,0,10,0
53103,X.X.X.X,25724,4399,4530,600,2,106,60,4,0,0,10,0
63315,X.X.X.X,31446,5379,4080,600,2,125,60,4,0,0,10,0
73536,X.X.X.X,37948,6355,4680,600,2,143,60,4,0,0,10,0
83745,X.X.X.X,44892,7331,5010,600,2,161,60,4,0,0,10,0
93957,X.X.X.X,52224,8315,5310,600,2,179,60,4,0,0,10,0
104172,X.X.X.X,59594,9291,5340,600,2,197,60,4,0,0,10,0
114382,X.X.X.X,66922,10267,5310,600,2,215,60,4,0,0,10,0
124597,X.X.X.X,74308,11243,5370,600,2,233,60,4,0,0,10,0
135085,X.X.X.X,81816,12239,5430,600,2,252,60,4,0,0,10,0
145536,X.X.X.X,89550,13227,5610,600,3,272,60,6,0,0,10,0
155571,X.X.X.X,118033,14589,17111,576,3,290,60,6,0,0,19,0
165584,X.X.X.X,145482,16251,4472,125,3,311,58,5,0,0,21,0
175623,X.X.X.X,153195,17394,6680,333,3,329,58,5,0,0,21,0
185632,X.X.X.X,161079,19169,6508,727,3,350,58,4,0,0,21,0
195643,X.X.X.X,168149,21521,5536,1216,3,377,58,4,0,0,21,0
205644,X.X.X.X,176234,24040,6689,1429,4,407,58,4,0,0,22,0
215651,X.X.X.X,180745,27179,2944,1967,4,443,58,4,0,0,22,0
225669,X.X.X.X,188224,29848,5878,1433,4,469,58,4,0,0,22,0
235687,X.X.X.X,197019,32744,7117,1544,4,493,58,4,0,0,22,0
245698,X.X.X.X,206206,36512,7399,2350,4,533,58,3,0,0,22,0
255711,X.X.X.X,228835,40571,20344,2283,6,576,58,4,0,0,23,0
265718,X.X.X.X,247526,45763,16040,3082,6,618,58,4,0,0,24,0
275725,X.X.X.X,264955,48773,15553,1540,6,646,58,4,0,0,25,0
285744,X.X.X.X,307982,54469,16293,870,6,694,58,4,0,0,26,0
295765,X.X.X.X,357151,61664,45060,3491,6,729,58,4,0,0,26,0
305774,X.X.X.X,407630,69755,45694,3907,6,789,58,4,0,0,27,0
315777,X.X.X.X,453634,77197,41192,3606,6,842,58,4,0,0,28,0
325791,X.X.X.X,507264,85119,48155,3632,6,891,58,4,0,0,28,0
335803,X.X.X.X,562991,93229,49952,3750,7,940,58,7,0,0,28,0
345823,X.X.X.X,614255,101183,45159,3794,7,999,58,7,0,0,28,0
355847,X.X.X.X,667904,109509,48813,3888,7,1051,58,6,0,0,28,0
365860,X.X.X.X,715788,117715,42808,3884,7,1101,58,4,0,0,28,0
375864,X.X.X.X,771607,125745,50033,3690,7,1150,58,4,0,0,28,0
385887,X.X.X.X,828169,133793,51447,3626,7,1198,58,5,0,0,28,0
395905,X.X.X.X,872959,141588,40010,3747,7,1254,58,4,0,0,28,0
405915,X.X.X.X,928058,149397,25055,1421,8,1307,58,4,0,0,28,0
415934,X.X.X.X,977180,157635,44096,3984,8,1357,58,4,0,0,28,0
425951,X.X.X.X,1015850,165259,33646,3742,8,1407,58,4,0,0,28,0
435961,X.X.X.X,1072610,173031,51625,3684,8,1459,58,5,0,0,28,0
445982,X.X.X.X,1122007,181031,44308,3636,8,1505,58,5,0,0,28,0
456005,X.X.X.X,1170224,188947,43203,3756,9,1557,58,4,0,0,28,0
466012,X.X.X.X,1218834,196393,43354,3402,10,1603,58,7,0,0,29,0
476023,X.X.X.X,1272516,204624,48777,3989,10,1658,58,7,0,0,29,0
486034,X.X.X.X,1319721,212591,42538,3983,10,1706,58,7,0,0,29,0
496044,X.X.X.X,1381341,221562,56238,4411,10,1778,58,6,0,0,29,0
506049,X.X.X.X,1430254,229356,43923,3588,10,1818,58,4,0,0,29,0
516064,X.X.X.X,1467877,236226,33351,3316,10,1865,58,4,0,0,29,0
526113,X.X.X.X,1512647,241146,21745,586,10,1886,58,4,0,0,29,0
536129,X.X.X.X,1562130,246532,45725,1992,10,1912,58,4,0,0,29,0
