2014-11-13T09-17-43: LogOut_File: : logfile started
2014-11-13T09-17-43: Net Status: low-level initialize success.
2014-11-13T09-17-43: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-13T09-17-43: time = time of logging
2014-11-13T09-17-43: address = address of IP address
2014-11-13T09-17-43: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-13T09-17-43: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-13T09-17-43: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-13T09-17-43: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-13T09-17-43: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-13T09-17-43: sent = number of packets sent. Spikes can indicate lag.
2014-11-13T09-17-43: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-13T09-17-43: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-13T09-17-43: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-13T09-17-43: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-13T09-17-43: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-13T09-17-43: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-13T09-17-43: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1376,X.X.X.X,76,110,0,0,0,3,396,159,0,0,0,0
11714,X.X.X.X,11247,1900,9293,854,1,73,60,7,0,0,9,0
22107,X.X.X.X,15393,2462,2880,270,1,92,60,7,0,0,10,0
32321,X.X.X.X,20855,3142,3870,360,1,110,60,7,0,0,10,0
42631,X.X.X.X,25623,3745,3360,305,1,128,60,7,0,0,10,0
52652,X.X.X.X,32481,4721,4950,600,1,146,60,6,0,0,10,0
62672,X.X.X.X,39801,5697,5310,600,1,164,60,6,0,0,10,0
72837,X.X.X.X,67861,7018,25882,537,1,183,60,6,0,0,23,0
82846,X.X.X.X,94799,8995,25700,899,1,211,60,6,0,0,24,0
92858,X.X.X.X,101238,10933,5170,1000,1,244,60,3,0,0,24,0
102860,X.X.X.X,108275,12907,5718,978,1,269,60,4,0,0,24,0
112867,X.X.X.X,112329,15858,2160,1624,1,304,60,4,0,0,24,0
122873,X.X.X.X,115286,18686,1785,1958,1,340,60,4,0,0,24,0
132880,X.X.X.X,118055,21342,1654,1822,1,374,60,4,0,0,24,0
142887,X.X.X.X,122289,24436,2978,2124,2,409,60,4,0,0,24,0
152894,X.X.X.X,125127,25992,1822,826,2,436,60,4,0,0,24,0
162901,X.X.X.X,128240,27975,2007,1171,2,463,60,4,0,0,24,0
172908,X.X.X.X,139444,31744,9414,2425,2,504,60,4,0,0,24,0
182915,X.X.X.X,145428,35363,4232,2323,2,541,60,4,0,0,24,0
192922,X.X.X.X,168849,40370,20503,2675,2,584,60,4,0,0,25,0
202929,X.X.X.X,217103,46780,44273,3010,2,624,59,4,0,0,26,0
