2014-11-19T16-45-21: LogOut_File: : logfile started
2014-11-19T16-45-21: Net Status: low-level initialize success.
2014-11-19T16-45-21: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-19T16-45-21: time = time of logging
2014-11-19T16-45-21: address = address of IP address
2014-11-19T16-45-21: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-19T16-45-21: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-19T16-45-21: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-19T16-45-21: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-19T16-45-21: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-19T16-45-21: sent = number of packets sent. Spikes can indicate lag.
2014-11-19T16-45-21: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-19T16-45-21: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-19T16-45-21: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-19T16-45-21: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-19T16-45-21: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-19T16-45-21: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-19T16-45-21: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
5198,X.X.X.X,194,186,0,0,0,10,199,174,0,0,0,0
35765,X.X.X.X,9737,1704,6904,454,1,77,73,7,0,0,5,0
45952,X.X.X.X,10341,1920,1020,0,1,95,74,8,0,0,9,0
56926,X.X.X.X,10683,2148,0,0,1,114,73,6,0,0,9,0
67296,X.X.X.X,11007,2364,0,0,1,132,73,5,0,0,9,0
78012,X.X.X.X,11341,2584,0,0,1,151,73,4,0,0,9,0
92671,X.X.X.X,11809,2896,0,0,1,177,73,4,0,0,9,0
102734,X.X.X.X,12123,3108,0,0,1,194,73,4,0,0,9,0
112956,X.X.X.X,12439,3316,0,0,1,212,73,4,0,0,9,0
124340,X.X.X.X,38240,4443,2688,365,1,232,73,4,0,0,15,0
135007,X.X.X.X,42956,5135,7472,366,1,251,73,4,0,0,26,0
152125,X.X.X.X,137535,6762,47,13,1,283,73,4,0,0,33,0
162173,X.X.X.X,153948,14008,99570,4602,1,301,73,4,0,6,34,0
172191,X.X.X.X,158603,14791,3761,197,1,319,73,4,0,6,35,0
182192,X.X.X.X,161883,15987,2313,554,1,344,73,4,0,6,35,0
192196,X.X.X.X,164895,16963,2111,340,1,367,73,4,0,6,35,0
202202,X.X.X.X,169104,20036,2733,1981,1,407,73,4,0,6,35,0
212204,X.X.X.X,172498,21219,2459,503,1,428,73,4,0,6,35,0
222209,X.X.X.X,178741,24032,4736,1747,1,464,73,4,0,6,36,0
232211,X.X.X.X,190364,25454,10294,546,2,483,73,4,0,6,36,0
242215,X.X.X.X,196546,26959,4709,583,2,501,73,4,0,6,36,0
