2014-11-15T12-45-14: LogOut_File: : logfile started
2014-11-15T12-45-14: Net Status: low-level initialize success.
2014-11-15T12-45-14: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-15T12-45-14: time = time of logging
2014-11-15T12-45-14: address = address of IP address
2014-11-15T12-45-14: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-15T12-45-14: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-15T12-45-14: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-15T12-45-14: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-15T12-45-14: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-15T12-45-14: sent = number of packets sent. Spikes can indicate lag.
2014-11-15T12-45-14: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-15T12-45-14: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-15T12-45-14: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-15T12-45-14: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-15T12-45-14: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-15T12-45-14: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-15T12-45-14: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
3967,X.X.X.X,158,162,0,0,0,8,231,203,0,0,0,0
15813,X.X.X.X,8895,1213,6710,409,2,40,61,10,0,0,4,0
26145,X.X.X.X,10715,1859,1982,330,2,59,60,6,0,0,9,0
36430,X.X.X.X,11357,2075,240,0,2,77,60,5,0,0,9,0
46471,X.X.X.X,12313,2367,480,60,2,95,60,4,0,0,9,0
56575,X.X.X.X,13155,2621,390,30,2,113,60,4,0,0,9,0
66925,X.X.X.X,13479,2837,0,0,2,131,60,4,0,0,9,0
76994,X.X.X.X,13803,3053,0,0,2,149,60,4,0,0,9,0
88047,X.X.X.X,14161,3335,0,30,3,169,60,4,0,0,9,0
101189,X.X.X.X,42408,4654,6170,485,3,193,60,4,0,0,22,0
111198,X.X.X.X,76599,6797,52437,873,3,215,60,4,0,0,27,0
121210,X.X.X.X,82745,8460,2193,580,3,248,61,4,0,0,27,0
131227,X.X.X.X,91402,10651,7220,1167,3,283,60,4,0,0,27,0
141232,X.X.X.X,96592,11613,4221,290,3,305,60,4,0,0,27,0
151237,X.X.X.X,100126,13032,2502,699,3,328,60,4,0,0,27,0
161245,X.X.X.X,108019,16018,6373,1850,3,366,60,4,0,0,27,0
171247,X.X.X.X,113836,18314,4390,1240,3,393,60,4,0,0,27,0
181252,X.X.X.X,123991,22866,7912,2858,3,446,60,4,0,0,27,0
191253,X.X.X.X,131430,25549,5790,1465,3,480,60,3,0,0,28,0
201255,X.X.X.X,145013,27733,12038,1076,3,505,60,4,0,0,28,0
211260,X.X.X.X,153660,30658,6925,1671,3,534,61,4,0,0,28,0
221264,X.X.X.X,179554,35159,22945,2207,3,559,60,5,0,0,28,0
231269,X.X.X.X,230559,42810,46350,3867,4,611,60,7,0,0,28,0
241274,X.X.X.X,274465,50362,16920,1565,4,667,60,6,0,0,28,0
251279,X.X.X.X,325145,58785,45417,4115,5,730,60,4,0,0,28,0
261283,X.X.X.X,378000,66596,48021,3769,5,783,60,4,0,0,28,0
271290,X.X.X.X,436897,74513,54109,3763,5,834,60,4,0,0,28,0
281301,X.X.X.X,489862,82610,48194,3891,6,886,60,4,0,0,28,0
291310,X.X.X.X,547386,90830,52009,3830,6,939,60,4,0,0,28,0
301320,X.X.X.X,602263,98652,50301,3666,7,994,60,4,0,0,28,0
311327,X.X.X.X,666751,107765,59024,4569,7,1073,60,4,0,0,28,0
321328,X.X.X.X,724191,115628,52265,3627,7,1127,60,3,0,0,28,0
331338,X.X.X.X,776183,123481,46981,3737,8,1178,60,6,0,0,28,0
341349,X.X.X.X,828917,131593,47952,3958,8,1233,60,4,0,0,28,0
351356,X.X.X.X,885578,139457,51443,3654,8,1286,60,4,0,0,28,0
361362,X.X.X.X,927195,146933,16138,1529,8,1339,60,4,0,0,28,0
371372,X.X.X.X,987920,155656,55400,4241,8,1409,60,4,0,0,28,0
381379,X.X.X.X,1042125,163675,49105,3753,9,1465,60,3,0,0,28,0
391383,X.X.X.X,1094213,171066,47391,3317,9,1509,60,4,0,0,28,0
401391,X.X.X.X,1141463,175757,43205,1377,9,1527,60,4,0,0,28,0
411392,X.X.X.X,1190327,179687,45294,972,10,1547,60,5,0,0,28,0
421395,X.X.X.X,1237164,183968,43374,1177,11,1570,60,7,0,0,28,0
431396,X.X.X.X,1293043,189467,51887,2105,11,1598,60,7,0,0,29,0
441407,X.X.X.X,1358623,196429,60815,2942,11,1628,60,6,0,0,29,0
451413,X.X.X.X,1413109,204614,49405,3865,11,1683,60,4,0,0,29,0
461418,X.X.X.X,1450257,211953,32367,3555,11,1733,60,4,0,0,29,0
471420,X.X.X.X,1508403,220116,52911,3855,13,1788,60,4,0,0,29,0
481428,X.X.X.X,1553628,226957,19062,1717,13,1828,60,4,0,0,29,0
491429,X.X.X.X,1603997,235357,45372,4022,13,1879,60,4,0,0,29,0
501438,X.X.X.X,1653130,243186,44224,3787,13,1934,60,4,0,0,29,0
511446,X.X.X.X,1698622,250904,40346,3710,13,1990,60,4,0,0,29,0
521449,X.X.X.X,1737669,258324,34142,3614,13,2038,60,4,0,0,29,0
531455,X.X.X.X,1795013,266005,52121,3551,14,2088,60,6,0,0,30,0
541465,X.X.X.X,1848247,273383,48969,3540,14,2126,60,5,0,0,30,0
551471,X.X.X.X,1895354,280370,42913,3397,14,2161,60,5,0,0,30,0
561489,X.X.X.X,1973652,289762,72889,4562,14,2233,60,4,0,0,30,0
571495,X.X.X.X,2057510,298213,79134,3903,14,2289,60,4,0,0,30,0
581501,X.X.X.X,2110033,305725,47175,3608,14,2328,60,4,0,0,30,0
591509,X.X.X.X,2176975,313686,60300,3711,15,2379,60,5,0,0,30,0
601516,X.X.X.X,2217008,320159,13575,1394,16,2431,60,4,0,0,30,0
611520,X.X.X.X,2253347,327880,31190,3813,17,2486,60,4,0,0,30,0
621522,X.X.X.X,2313477,335394,55195,3516,17,2535,60,4,0,0,30,0
631529,X.X.X.X,2366997,342080,49422,3134,18,2583,60,4,0,0,30,0
641539,X.X.X.X,2402872,349206,31612,3662,19,2640,60,4,0,0,30,0
651548,X.X.X.X,2453250,357006,44963,3690,19,2693,60,4,0,0,30,0
661558,X.X.X.X,2506586,364316,48869,3422,19,2744,60,4,0,0,30,0
671567,X.X.X.X,2557916,372150,46465,3638,19,2792,60,4,0,0,30,0
681570,X.X.X.X,2630315,379838,67491,3474,19,2836,60,4,0,0,30,0
691579,X.X.X.X,2694468,387230,59588,3270,19,2867,60,4,0,0,30,0
701581,X.X.X.X,2747455,395338,48038,4036,19,2906,60,4,0,0,30,0
711592,X.X.X.X,2809516,403349,57102,3871,19,2952,60,4,0,0,30,0
721594,X.X.X.X,2838555,410292,11379,1529,19,3006,60,4,0,0,30,0
731603,X.X.X.X,2890800,418314,46958,3832,21,3059,60,5,0,0,30,0
741613,X.X.X.X,2941673,426408,45416,3822,22,3116,60,4,0,0,30,0
751622,X.X.X.X,3012914,434554,66417,3884,23,3164,60,4,0,0,30,0
761628,X.X.X.X,3076696,441930,59162,3530,23,3201,60,4,0,0,30,0
771634,X.X.X.X,3133925,449604,52302,3660,23,3243,60,4,0,0,30,0
781643,X.X.X.X,3183155,457066,44507,3626,23,3293,60,4,0,0,30,0
791650,X.X.X.X,3230898,464385,42407,3377,23,3331,60,4,0,0,30,0
801658,X.X.X.X,3269778,468235,35566,1146,23,3350,60,4,0,0,30,0
811666,X.X.X.X,3304753,472244,31959,1453,23,3375,60,4,0,0,30,0
821669,X.X.X.X,3334811,477265,26156,1977,23,3401,60,4,0,0,30,0
831672,X.X.X.X,3376057,483352,36812,2601,24,3439,60,6,0,0,30,0
841680,X.X.X.X,3425123,489896,20239,1208,24,3480,60,6,0,0,30,0
851682,X.X.X.X,3481300,496759,51765,3019,24,3515,60,6,0,0,30,0
861687,X.X.X.X,3528263,503877,42910,3582,24,3557,60,4,0,0,31,0
871688,X.X.X.X,3564091,511192,31267,3579,24,3598,60,4,0,0,31,0
881695,X.X.X.X,3619859,519504,50795,4120,24,3654,60,4,0,0,31,0
891696,X.X.X.X,3666399,527062,41817,3700,24,3700,60,4,0,0,31,0
901698,X.X.X.X,3734276,536148,62729,4564,24,3759,60,4,0,0,32,0
911701,X.X.X.X,3785794,543996,46323,3786,24,3805,60,4,0,0,32,0
921708,X.X.X.X,3850883,551210,60619,3352,24,3846,60,4,0,0,32,0
931718,X.X.X.X,3916313,559210,60714,3766,24,3896,60,4,0,0,32,0
941719,X.X.X.X,3959551,567476,37755,3996,24,3989,60,4,0,0,32,0
951729,X.X.X.X,4006584,574394,42332,3232,25,4056,60,4,0,0,32,0
961737,X.X.X.X,4051630,581025,17470,1231,25,4095,60,4,0,0,32,0
971745,X.X.X.X,4089965,588238,34063,3735,25,4132,60,4,0,0,33,0
981749,X.X.X.X,4148060,596257,52899,3795,25,4180,60,4,0,0,33,0
991753,X.X.X.X,4204824,603347,52052,3122,25,4216,60,4,0,0,33,0
1001767,X.X.X.X,4280401,611537,70164,3898,25,4273,61,4,0,0,33,0
1011776,X.X.X.X,4358573,619272,73408,3465,25,4316,61,4,0,0,34,0
1021781,X.X.X.X,4413385,625751,50607,2443,25,4335,61,3,0,0,34,0
1031792,X.X.X.X,4455713,630448,38802,1647,25,4354,61,4,0,0,34,0
1041797,X.X.X.X,4508713,634198,49614,910,25,4373,61,4,0,0,34,0
1051803,X.X.X.X,4556616,640961,43706,3073,25,4406,61,5,0,0,34,0
1061808,X.X.X.X,4603831,646957,43255,2582,25,4429,61,4,0,0,34,0
1071822,X.X.X.X,4673910,655122,64267,3779,25,4473,61,4,0,0,34,0
