2014-11-21T17-28-37: LogOut_File: : logfile started
2014-11-21T17-28-38: Net Status: low-level initialize success.
2014-11-21T17-28-38: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-21T17-28-38: time = time of logging
2014-11-21T17-28-38: address = address of IP address
2014-11-21T17-28-38: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-21T17-28-38: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-21T17-28-38: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-21T17-28-38: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-21T17-28-38: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-21T17-28-38: sent = number of packets sent. Spikes can indicate lag.
2014-11-21T17-28-38: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-21T17-28-38: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-21T17-28-38: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-21T17-28-38: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-21T17-28-38: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-21T17-28-38: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-21T17-28-38: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
21767,X.X.X.X,1020,534,0,0,0,39,60,7,0,0,0,0
37784,X.X.X.X,10303,2230,7004,624,2,133,60,6,0,0,2,0
50189,X.X.X.X,10875,2494,270,0,2,155,60,7,0,0,4,0
60206,X.X.X.X,11821,2748,330,30,2,173,60,7,0,0,9,0
70372,X.X.X.X,12761,3002,330,30,2,191,60,7,0,0,9,0
80634,X.X.X.X,13229,3218,0,0,2,209,60,7,0,0,9,0
90781,X.X.X.X,14175,3480,330,30,2,227,60,6,0,0,10,0
101002,X.X.X.X,14643,3696,0,0,2,245,60,6,0,0,10,0
124722,X.X.X.X,15735,4200,0,0,2,287,60,5,0,0,10,0
135147,X.X.X.X,17065,4500,600,60,2,305,60,4,0,0,10,0
145337,X.X.X.X,17533,4716,0,0,2,323,60,4,0,0,10,0
155612,X.X.X.X,18027,4944,0,0,2,342,59,4,0,0,10,0
165891,X.X.X.X,18495,5160,0,0,2,360,59,4,0,0,10,0
176191,X.X.X.X,18963,5376,0,0,2,378,59,4,0,0,10,0
186233,X.X.X.X,19443,5600,0,0,2,396,59,4,0,0,10,0
196441,X.X.X.X,20855,5892,660,60,2,414,59,3,0,0,10,0
206483,X.X.X.X,45319,6767,1912,185,2,432,59,4,0,0,15,0
216869,X.X.X.X,51051,7527,6780,426,2,451,59,4,0,0,27,0
228101,X.X.X.X,103678,10836,20994,600,2,474,59,4,0,0,30,0
238102,X.X.X.X,115984,12814,11261,906,2,496,59,4,0,1,30,0
248104,X.X.X.X,127881,14672,11305,944,2,525,59,4,0,1,31,0
258109,X.X.X.X,138214,17084,9781,1462,2,554,57,4,0,1,31,0
268112,X.X.X.X,147154,19810,7809,1718,3,592,57,4,0,1,32,0
278115,X.X.X.X,156421,22891,7950,1873,3,639,58,5,0,1,32,0
288116,X.X.X.X,164426,25361,7229,1572,3,675,57,4,0,1,32,0
298117,X.X.X.X,173158,28186,7867,1859,3,706,57,4,0,1,32,0
308119,X.X.X.X,184476,31472,9873,1988,3,744,57,4,0,1,32,0
318128,X.X.X.X,200464,33078,15160,712,3,767,57,4,0,1,32,0
328137,X.X.X.X,213859,34565,12518,537,3,786,57,4,0,1,32,0
338138,X.X.X.X,248624,39038,31178,2103,3,821,57,4,0,1,32,0
348145,X.X.X.X,299872,45542,23506,1603,4,873,57,4,0,1,32,0
358153,X.X.X.X,349059,52050,44252,2936,4,924,57,4,0,1,33,0
368159,X.X.X.X,401065,57533,47705,2233,4,957,57,4,0,1,33,0
378161,X.X.X.X,466835,63794,60661,2607,4,1003,57,4,0,1,34,0
388166,X.X.X.X,523963,70439,52014,2895,4,1044,57,6,0,1,34,0
398171,X.X.X.X,574261,76554,45755,2697,4,1076,57,6,0,1,34,0
408173,X.X.X.X,644732,83088,65497,2798,4,1125,57,4,0,1,34,0
