2014-11-20T17-41-43: LogOut_File: : logfile started
2014-11-20T17-41-43: Net Status: low-level initialize success.
2014-11-20T17-41-43: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-20T17-41-43: time = time of logging
2014-11-20T17-41-43: address = address of IP address
2014-11-20T17-41-43: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-20T17-41-43: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-20T17-41-43: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-20T17-41-43: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-20T17-41-43: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-20T17-41-43: sent = number of packets sent. Spikes can indicate lag.
2014-11-20T17-41-43: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-20T17-41-43: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-20T17-41-43: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-20T17-41-43: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-20T17-41-43: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-20T17-41-43: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-20T17-41-43: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1752,X.X.X.X,110,114,0,0,0,4,354,195,0,0,0,0
11957,X.X.X.X,9113,1170,7530,424,0,36,60,10,0,0,7,0
22290,X.X.X.X,9627,1394,32,0,0,54,60,7,0,0,7,0
32406,X.X.X.X,10095,1610,0,0,0,72,60,7,0,0,7,0
43044,X.X.X.X,10575,1838,0,0,1,92,60,7,0,0,7,0
53157,X.X.X.X,11043,2054,0,0,1,110,60,6,0,0,7,0
63278,X.X.X.X,11525,2308,0,30,1,128,60,6,0,0,7,0
73627,X.X.X.X,18465,3257,4530,575,1,147,60,5,0,0,9,0
83855,X.X.X.X,25561,4233,4650,600,2,166,62,8,0,0,9,0
94063,X.X.X.X,33169,5217,5040,600,2,184,60,7,0,0,9,0
106995,X.X.X.X,63374,6715,4364,630,3,208,60,7,0,0,16,0
117147,X.X.X.X,69628,7471,5301,426,3,226,60,7,0,0,25,0
127186,X.X.X.X,104137,9396,14076,269,3,248,60,7,0,0,27,0
137226,X.X.X.X,117280,10418,12488,228,3,266,60,7,0,0,27,0
147228,X.X.X.X,131349,12105,13505,709,3,291,60,7,0,0,27,0
157230,X.X.X.X,142795,13433,11365,538,3,313,60,7,0,0,27,0
167236,X.X.X.X,151838,14499,9211,480,3,335,60,7,0,0,27,0
177242,X.X.X.X,164666,17740,12308,2155,3,377,60,5,0,0,27,0
187245,X.X.X.X,177491,21110,12207,2274,3,417,60,6,0,0,27,0
197252,X.X.X.X,193966,24461,15350,1963,3,456,60,5,0,0,28,0
207255,X.X.X.X,209612,28938,13627,2767,3,508,60,5,0,0,28,0
