2014-11-12T09-41-30: LogOut_File: : logfile started
2014-11-12T09-41-30: Net Status: low-level initialize success.
2014-11-12T09-41-30: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-12T09-41-30: time = time of logging
2014-11-12T09-41-30: address = address of IP address
2014-11-12T09-41-30: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-12T09-41-30: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-12T09-41-30: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-12T09-41-30: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-12T09-41-30: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-12T09-41-30: sent = number of packets sent. Spikes can indicate lag.
2014-11-12T09-41-30: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-12T09-41-30: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-12T09-41-30: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-12T09-41-30: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-12T09-41-30: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-12T09-41-30: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-12T09-41-30: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1328,X.X.X.X,76,110,0,0,0,3,397,156,0,0,0,0
11475,X.X.X.X,8617,1223,7415,479,0,34,60,14,0,0,5,0
21579,X.X.X.X,9981,1636,780,155,0,52,57,6,0,0,6,0
31786,X.X.X.X,13219,2620,2190,600,0,70,57,5,0,0,6,0
41993,X.X.X.X,16753,3600,2430,600,0,89,57,4,0,0,6,0
52321,X.X.X.X,22291,4584,3962,600,0,107,57,4,0,0,7,0
62528,X.X.X.X,28215,5560,4260,600,0,125,57,4,0,0,7,0
72735,X.X.X.X,34689,6548,4680,600,0,144,57,4,0,0,7,0
82957,X.X.X.X,41795,7524,5130,600,0,162,57,4,0,0,7,0
93172,X.X.X.X,48397,8500,4770,600,0,180,57,4,0,0,7,0
103387,X.X.X.X,54651,9476,4530,600,0,198,57,4,0,0,7,0
113609,X.X.X.X,72752,10642,7678,570,0,217,57,4,0,0,16,0
123613,X.X.X.X,90260,12009,4510,136,0,238,57,4,0,0,20,0
133626,X.X.X.X,92546,13056,1571,533,0,263,57,4,0,0,20,0
143633,X.X.X.X,94476,13604,1336,118,0,282,57,4,0,0,20,0
153640,X.X.X.X,96393,14817,1175,673,0,307,57,4,0,0,20,0
163647,X.X.X.X,98450,15566,1431,291,0,328,57,4,0,0,20,0
173654,X.X.X.X,102085,17579,2634,1283,0,355,57,4,0,0,20,0
183661,X.X.X.X,110507,18910,7286,467,0,374,57,4,0,0,20,0
193668,X.X.X.X,122313,23552,9498,2812,0,411,57,3,0,0,20,0
203674,X.X.X.X,131707,28298,7141,3030,0,464,57,4,0,0,20,0
213681,X.X.X.X,140653,31729,7253,2123,0,494,57,4,0,0,20,0
223688,X.X.X.X,148904,35010,6507,1963,0,530,57,4,0,0,20,0
233695,X.X.X.X,154922,38971,4091,2505,2,585,59,5,0,0,20,0
243703,X.X.X.X,185597,44723,6528,538,2,638,59,4,0,0,20,0
253709,X.X.X.X,228714,51144,38962,2887,3,671,59,4,0,0,20,0
263716,X.X.X.X,269873,57960,36775,3092,3,709,59,5,0,0,20,0
273728,X.X.X.X,317625,65550,42637,3528,3,758,59,5,0,0,20,0
283730,X.X.X.X,367797,73266,45319,3652,3,804,59,4,0,0,21,0
293736,X.X.X.X,414176,81203,41426,3891,3,857,59,4,0,0,22,0
303743,X.X.X.X,471406,89105,51038,3684,3,905,59,4,0,0,22,0
313750,X.X.X.X,525371,97392,48972,3927,3,957,59,4,0,0,22,0
323757,X.X.X.X,565352,105201,35176,3731,4,1005,59,5,0,0,22,0
333764,X.X.X.X,613715,113047,43340,3734,4,1057,59,4,0,0,22,0
343771,X.X.X.X,676582,120751,58093,3482,4,1102,59,4,0,0,23,0
353779,X.X.X.X,720036,128275,38598,3568,4,1148,59,4,0,0,23,0
363787,X.X.X.X,761935,135962,8527,1005,4,1193,59,4,0,0,23,0
373792,X.X.X.X,807574,144040,40491,3886,4,1245,59,4,0,0,23,0
383798,X.X.X.X,860535,152126,47832,3808,4,1294,59,4,0,0,23,0
393805,X.X.X.X,916740,159795,51239,3637,4,1345,59,4,0,0,24,0
403812,X.X.X.X,961526,167867,40056,3898,7,1397,59,7,0,0,24,0
413819,X.X.X.X,996190,175283,30181,3606,8,1445,59,5,0,0,24,0
423826,X.X.X.X,1039835,183246,38624,3791,8,1495,59,4,0,0,24,0
433833,X.X.X.X,1092132,191269,47126,3751,8,1543,59,6,0,0,24,0
443839,X.X.X.X,1135151,198942,37908,3725,8,1596,59,4,0,0,24,0
453846,X.X.X.X,1183854,206528,43704,3598,8,1642,59,4,0,0,24,0
463854,X.X.X.X,1233306,213545,44814,3207,8,1682,59,4,0,0,24,0
