2014-11-13T09-49-30: LogOut_File: : logfile started
2014-11-13T09-49-30: Net Status: low-level initialize success.
2014-11-13T09-49-30: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-13T09-49-30: time = time of logging
2014-11-13T09-49-30: address = address of IP address
2014-11-13T09-49-30: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-13T09-49-30: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-13T09-49-30: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-13T09-49-30: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-13T09-49-30: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-13T09-49-30: sent = number of packets sent. Spikes can indicate lag.
2014-11-13T09-49-30: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-13T09-49-30: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-13T09-49-30: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-13T09-49-30: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-13T09-49-30: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-13T09-49-30: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-13T09-49-30: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1377,X.X.X.X,76,110,0,0,0,3,397,158,0,0,0,0
12452,X.X.X.X,8734,1216,7520,474,1,35,63,13,0,0,8,0
22831,X.X.X.X,9156,1444,60,0,1,54,61,7,0,0,8,0
32949,X.X.X.X,13646,2275,3152,485,1,72,61,7,0,0,8,0
43242,X.X.X.X,19168,3213,3930,570,1,90,61,7,0,0,9,0
53454,X.X.X.X,25398,4201,4470,600,1,109,61,7,0,0,9,0
63662,X.X.X.X,33172,5177,5670,600,1,127,61,7,0,0,9,0
73871,X.X.X.X,41026,6153,5730,600,1,145,61,7,0,0,9,0
84077,X.X.X.X,48368,7129,5340,600,1,163,61,7,0,0,9,0
94284,X.X.X.X,55506,8105,5190,600,1,181,61,4,0,0,9,0
104297,X.X.X.X,62616,9043,5160,570,1,199,61,4,0,0,9,0
114504,X.X.X.X,70076,10019,5430,600,1,217,61,4,0,0,9,0
124711,X.X.X.X,77542,10995,5430,600,1,235,61,4,0,0,9,0
135041,X.X.X.X,85026,11983,5460,600,1,254,60,4,0,0,9,0
145210,X.X.X.X,92516,12959,5460,600,1,272,60,4,0,0,9,0
155417,X.X.X.X,99936,13943,5400,600,2,291,61,6,0,0,9,0
165624,X.X.X.X,107348,14919,5400,600,2,309,61,6,0,0,9,0
175830,X.X.X.X,114746,15895,5400,600,2,327,61,5,0,0,9,0
186248,X.X.X.X,122228,16879,5460,600,2,345,61,5,0,0,9,0
196744,X.X.X.X,150393,18238,25972,567,2,364,61,5,0,0,19,0
206752,X.X.X.X,177871,20068,9055,368,2,389,61,5,0,0,21,0
