2014-11-16T22-04-04: LogOut_File: : logfile started
2014-11-16T22-04-04: Net Status: low-level initialize success.
2014-11-16T22-04-04: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-16T22-04-04: time = time of logging
2014-11-16T22-04-04: address = address of IP address
2014-11-16T22-04-04: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-16T22-04-04: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-16T22-04-04: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-16T22-04-04: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-16T22-04-04: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-16T22-04-04: sent = number of packets sent. Spikes can indicate lag.
2014-11-16T22-04-04: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-16T22-04-04: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-16T22-04-04: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-16T22-04-04: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-16T22-04-04: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-16T22-04-04: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-16T22-04-04: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1812,X.X.X.X,94,122,0,0,0,4,355,194,0,0,0,0
12009,X.X.X.X,8458,1126,7326,404,2,32,69,21,0,0,8,0
22256,X.X.X.X,8782,1342,0,0,3,51,61,7,0,0,8,0
32839,X.X.X.X,9124,1608,0,30,3,70,63,9,0,0,8,0
42926,X.X.X.X,15028,2553,4230,575,3,88,61,5,0,0,8,0
52977,X.X.X.X,21504,3521,4680,600,3,106,61,5,0,0,8,0
63030,X.X.X.X,28154,4497,4800,600,3,124,61,5,0,0,8,0
73083,X.X.X.X,35310,5473,5190,600,3,142,61,4,0,0,8,0
83138,X.X.X.X,42622,6449,5310,600,3,160,61,4,0,0,8,0
93192,X.X.X.X,49924,7421,5280,600,3,177,60,4,0,0,8,0
103246,X.X.X.X,57334,8397,5370,600,3,195,60,4,0,0,8,0
113299,X.X.X.X,64694,9373,5340,600,3,213,60,4,0,0,8,0
123352,X.X.X.X,71978,10349,5280,600,3,231,60,4,0,0,8,0
133404,X.X.X.X,79326,11325,5310,600,4,250,60,8,0,0,8,0
143463,X.X.X.X,86664,12301,5340,600,4,268,60,7,0,0,8,0
153516,X.X.X.X,94288,13273,5550,600,4,285,60,8,0,0,8,0
163570,X.X.X.X,123478,14673,6573,600,5,304,60,7,0,0,14,0
173752,X.X.X.X,130434,15578,25189,537,5,323,60,7,0,0,21,0
183755,X.X.X.X,157308,17346,3341,54,5,345,60,4,0,0,22,0
193758,X.X.X.X,165996,18198,7728,146,5,363,60,4,0,0,22,0
203765,X.X.X.X,174523,20013,7202,831,5,391,60,4,0,0,22,0
213774,X.X.X.X,179699,20836,4323,197,5,410,60,4,0,0,22,0
223777,X.X.X.X,183515,22160,2865,600,5,435,60,4,0,0,22,0
233778,X.X.X.X,197365,23943,12684,815,5,458,60,4,0,0,24,0
243784,X.X.X.X,206538,27388,7379,2061,5,493,60,4,0,0,24,0
253788,X.X.X.X,230940,32930,21568,3276,5,529,60,5,0,0,25,0
263797,X.X.X.X,242118,36112,9023,1782,5,556,60,5,0,0,25,0
273808,X.X.X.X,255553,39587,11094,2095,5,591,60,5,0,0,25,0
283814,X.X.X.X,264268,43243,6760,2328,6,628,60,5,0,0,25,0
293816,X.X.X.X,274254,46126,7980,1625,8,658,61,10,0,0,25,0
303817,X.X.X.X,316719,51736,12899,852,8,699,60,5,0,0,25,0
313828,X.X.X.X,361541,58533,40185,3021,9,739,60,8,0,0,25,0
323837,X.X.X.X,408240,65910,41929,3433,9,786,60,6,0,0,26,0
333838,X.X.X.X,468577,73507,55319,3403,9,836,60,3,0,0,26,0
