2014-11-18T17-18-39: LogOut_File: : logfile started
2014-11-18T17-18-39: Net Status: low-level initialize success.
2014-11-18T17-18-39: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-18T17-18-39: time = time of logging
2014-11-18T17-18-39: address = address of IP address
2014-11-18T17-18-39: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-18T17-18-39: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-18T17-18-39: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-18T17-18-39: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-18T17-18-39: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-18T17-18-39: sent = number of packets sent. Spikes can indicate lag.
2014-11-18T17-18-39: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-18T17-18-39: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-18T17-18-39: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-18T17-18-39: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-18T17-18-39: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-18T17-18-39: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-18T17-18-39: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1413,X.X.X.X,76,110,0,0,0,3,396,158,0,0,0,0
12646,X.X.X.X,8363,1166,7212,424,0,37,60,9,0,0,6,0
23044,X.X.X.X,9409,1595,452,155,0,55,60,7,0,0,7,0
33251,X.X.X.X,12761,2533,2370,570,0,73,60,6,0,0,7,0
43460,X.X.X.X,16219,3513,2370,600,0,92,60,5,0,0,7,0
53732,X.X.X.X,20475,4497,2940,600,0,110,60,5,0,0,8,0
63941,X.X.X.X,26239,5473,4110,600,0,128,60,5,0,0,8,0
74148,X.X.X.X,32855,6449,4770,600,0,146,60,4,0,0,8,0
84426,X.X.X.X,39501,7433,4802,600,0,164,60,4,0,0,9,0
94634,X.X.X.X,46245,8421,4860,600,0,183,59,4,0,0,9,0
104840,X.X.X.X,52927,9397,4830,600,0,201,59,4,0,0,9,0
115047,X.X.X.X,59281,10373,4560,600,1,220,60,7,0,0,9,0
125259,X.X.X.X,65897,11349,4770,600,1,238,60,7,0,0,9,0
135466,X.X.X.X,73109,12325,5220,600,1,256,60,7,0,0,9,0
145671,X.X.X.X,80865,13301,5640,600,1,274,60,7,0,0,9,0
156902,X.X.X.X,100197,14533,7367,600,1,294,60,7,0,0,16,0
167332,X.X.X.X,107107,15548,14678,627,1,314,60,7,0,0,20,0
177353,X.X.X.X,123219,17117,5523,393,1,335,60,6,0,0,21,0
187376,X.X.X.X,126970,18229,2759,390,1,353,60,6,0,0,21,0
197402,X.X.X.X,129052,18946,1422,243,1,371,60,6,0,0,21,0
207405,X.X.X.X,131923,19898,2162,442,1,393,60,4,0,0,22,0
217410,X.X.X.X,140185,21764,6771,780,2,418,60,7,0,0,22,0
227412,X.X.X.X,157582,26284,14477,2216,2,437,60,7,0,0,22,0
237420,X.X.X.X,182375,31361,21495,2435,2,456,60,7,0,0,22,0
247423,X.X.X.X,200981,35864,15670,2209,2,476,60,6,0,0,23,0
257428,X.X.X.X,225341,40563,21202,2163,2,495,60,5,0,0,23,0
267435,X.X.X.X,243332,43408,15965,1339,2,517,60,5,0,0,24,0
277443,X.X.X.X,251236,45062,6444,630,2,536,60,4,0,0,24,0
287478,X.X.X.X,271018,47791,17543,943,2,554,60,4,0,0,24,0
297484,X.X.X.X,316260,52784,37436,1620,2,582,60,4,0,0,24,0
307490,X.X.X.X,363613,60521,42790,3697,2,629,60,4,0,0,24,0
317499,X.X.X.X,408015,67654,40051,3491,2,679,60,4,0,0,24,0
327510,X.X.X.X,467790,75940,54415,3848,4,734,60,4,0,0,24,0
337512,X.X.X.X,519674,83623,47190,3593,4,781,60,4,0,0,24,0
347519,X.X.X.X,565017,91292,40198,3735,4,833,60,4,0,0,24,0
357522,X.X.X.X,622407,99555,52069,3917,4,888,60,6,0,0,24,0
367528,X.X.X.X,684746,108273,57085,4158,4,963,60,5,0,0,24,0
377531,X.X.X.X,734913,115807,45051,3490,4,1011,60,5,0,0,24,0
387539,X.X.X.X,793986,123621,54221,3654,4,1059,60,5,0,0,24,0
397544,X.X.X.X,837536,131312,38683,3673,6,1115,60,6,0,0,24,0
407549,X.X.X.X,888801,139088,46341,3690,7,1168,60,4,0,0,24,0
417556,X.X.X.X,947820,147033,44909,3107,7,1220,60,4,0,0,24,0
427561,X.X.X.X,1001349,155119,48845,3960,8,1278,60,4,0,0,24,0
437563,X.X.X.X,1044739,161574,38811,2859,8,1309,60,4,0,0,24,0
447575,X.X.X.X,1096066,166489,47364,1563,8,1330,60,4,0,0,25,0
457580,X.X.X.X,1135908,170966,36516,1465,8,1355,60,4,0,0,25,0
467586,X.X.X.X,1185198,175039,45495,1071,8,1375,60,4,0,0,25,0
477600,X.X.X.X,1240411,181958,50158,2855,8,1394,60,4,0,0,25,0
487611,X.X.X.X,1285693,189510,40551,3454,8,1428,60,5,0,0,25,0
497612,X.X.X.X,1332572,196994,42150,3652,8,1481,60,4,0,0,25,0
507618,X.X.X.X,1389137,204756,51762,3714,8,1536,60,4,0,0,25,0
517627,X.X.X.X,1432837,211537,39443,3143,8,1578,60,3,0,0,25,0
527635,X.X.X.X,1463692,216750,26984,2151,9,1611,60,4,0,0,25,0
537638,X.X.X.X,1522345,224553,47121,3178,10,1661,60,3,0,0,25,0
547645,X.X.X.X,1583954,232579,57278,3846,11,1716,60,4,0,0,25,0
557654,X.X.X.X,1635363,239762,46848,3279,12,1767,60,6,0,0,25,0
567663,X.X.X.X,1691686,247561,51333,3601,15,1810,60,4,0,0,25,0
577671,X.X.X.X,1732357,254698,36385,3491,15,1852,60,6,0,0,25,0
587680,X.X.X.X,1769256,261473,32123,2991,15,1889,60,6,0,0,25,0
597683,X.X.X.X,1813118,267828,39349,2599,15,1914,60,6,0,0,25,0
607687,X.X.X.X,1847519,273558,30407,2292,15,1937,60,5,0,0,25,0
617689,X.X.X.X,1898478,281942,45601,3886,16,1996,60,5,0,0,25,0
627693,X.X.X.X,1949963,288036,47203,2456,16,2027,60,5,0,0,25,0
