2014-11-15T15-20-49: LogOut_File: : logfile started
2014-11-15T15-20-49: Net Status: low-level initialize success.
2014-11-15T15-20-49: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-15T15-20-49: time = time of logging
2014-11-15T15-20-49: address = address of IP address
2014-11-15T15-20-49: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-15T15-20-49: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-15T15-20-49: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-15T15-20-49: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-15T15-20-49: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-15T15-20-49: sent = number of packets sent. Spikes can indicate lag.
2014-11-15T15-20-49: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-15T15-20-49: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-15T15-20-49: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-15T15-20-49: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-15T15-20-49: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-15T15-20-49: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-15T15-20-49: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1512,X.X.X.X,76,110,0,0,0,3,396,159,0,0,0,0
11844,X.X.X.X,8381,1071,7262,379,0,32,64,16,0,0,5,0
22136,X.X.X.X,8747,1295,32,0,0,50,60,6,0,0,5,0
32348,X.X.X.X,9393,1606,92,65,1,70,60,5,0,0,6,0
42711,X.X.X.X,13685,2544,3150,570,1,88,60,5,0,0,9,0
52761,X.X.X.X,17657,3520,2760,600,1,106,60,5,0,0,9,0
62810,X.X.X.X,22741,4496,3600,600,1,124,60,5,0,0,9,0
72859,X.X.X.X,27837,5472,3600,600,1,142,60,5,0,0,9,0
82905,X.X.X.X,32927,6444,3630,600,1,159,60,5,0,0,9,0
92951,X.X.X.X,38549,7420,4020,600,1,177,60,5,0,0,9,0
103007,X.X.X.X,45581,8396,5130,600,1,195,60,5,0,0,9,0
113057,X.X.X.X,52949,9372,5370,600,1,213,60,6,0,0,9,0
123506,X.X.X.X,82043,10716,7337,540,1,232,60,6,0,0,19,0
133538,X.X.X.X,110558,12586,2794,80,1,255,60,4,0,0,22,0
143543,X.X.X.X,118405,13936,6832,550,2,282,60,4,0,0,22,0
153546,X.X.X.X,129643,16092,9800,1070,2,314,60,4,0,0,22,0
163549,X.X.X.X,135141,17184,4535,426,2,337,60,4,0,0,22,0
173551,X.X.X.X,139893,19210,3585,1194,2,366,60,4,0,0,22,0
183556,X.X.X.X,143699,20737,2738,719,4,389,60,4,0,0,22,0
193559,X.X.X.X,148590,22302,3361,611,6,410,88,48,0,0,22,0
203564,X.X.X.X,151311,23455,1815,555,6,432,60,7,0,0,22,0
213569,X.X.X.X,155836,24992,3339,669,7,452,61,7,0,0,22,0
223578,X.X.X.X,165792,27229,8326,1043,7,470,60,7,0,0,23,0
233579,X.X.X.X,176936,29638,9403,1127,7,489,60,6,0,0,23,0
243581,X.X.X.X,184021,31933,5610,1225,7,514,60,7,0,0,23,0
253583,X.X.X.X,209580,37340,0,34,9,557,60,6,0,0,24,0
263593,X.X.X.X,269263,43870,53920,2934,9,589,60,7,0,0,24,0
273604,X.X.X.X,317450,50763,43483,3261,9,652,60,6,0,0,24,0
283608,X.X.X.X,365559,57254,43742,2851,9,703,60,4,0,0,24,0
293615,X.X.X.X,416075,63083,46537,2321,9,734,60,4,0,0,24,0
303618,X.X.X.X,468539,71657,46678,4244,9,797,60,4,0,0,24,0
313626,X.X.X.X,532617,80033,58789,3782,9,851,60,4,0,0,24,1
323628,X.X.X.X,599598,88311,57842,3708,14,907,60,6,0,0,24,0
333637,X.X.X.X,639605,95408,35638,3369,15,956,60,6,0,0,24,0
343638,X.X.X.X,698797,102942,54593,3450,15,1004,60,6,0,0,24,0
