2018-07-07T23-04-08: LogOut_File: : logfile started
2018-07-07T23-04-08: Net Status: low-level initialize success.
2018-07-07T23-04-08: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2018-07-07T23-04-08: time = time of logging
2018-07-07T23-04-08: address = address of IP address
2018-07-07T23-04-08: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2018-07-07T23-04-08: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2018-07-07T23-04-08: app_ctos = client to server bytes delta excluding overheads (app data only)
2018-07-07T23-04-08: app_stoc = server to client bytes delta excluding overheads (app data only)
2018-07-07T23-04-08: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2018-07-07T23-04-08: sent = number of packets sent. Spikes can indicate lag.
2018-07-07T23-04-08: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2018-07-07T23-04-08: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2018-07-07T23-04-08: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2018-07-07T23-04-08: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2018-07-07T23-04-08: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2018-07-07T23-04-08: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2018-07-07T23-04-08: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
866,X.X.X.X,90,106,0,0,0,2,438,109,0,0,0,0
10869,X.X.X.X,63785,9576,56913,5102,0,31,13,20,0,12,5,0
20887,X.X.X.X,559590,97109,450593,46219,0,51,7,7,0,75,5,0
30917,X.X.X.X,1057041,184931,452085,46372,0,71,7,7,0,191,5,0
40927,X.X.X.X,1552878,272464,450611,46219,0,91,7,7,0,307,5,0
50929,X.X.X.X,2047191,359943,449139,46253,0,112,7,7,0,356,5,0
60930,X.X.X.X,2543671,447796,450944,46455,0,144,7,7,0,358,5,0
70932,X.X.X.X,3056524,538646,464447,48604,0,212,7,7,0,358,5,0
80936,X.X.X.X,3554853,627049,452517,46875,0,243,7,7,0,358,5,0
90937,X.X.X.X,4052115,715042,451556,46633,0,271,7,7,0,358,5,0
100939,X.X.X.X,4567648,805615,467937,47993,0,300,7,7,0,358,5,0
110943,X.X.X.X,5585623,976234,929445,90319,0,326,7,7,0,573,5,0
120946,X.X.X.X,6818479,1182091,1118410,109623,0,389,7,7,0,872,5,0
130949,X.X.X.X,8144035,1395244,1186980,113211,0,432,7,7,0,1171,5,0
140953,X.X.X.X,10617793,1751397,2149588,189001,0,497,7,7,0,1709,5,0
150959,X.X.X.X,13264907,2127870,2291800,199891,0,567,7,7,0,2305,5,0
160963,X.X.X.X,15684370,2472996,2092455,183884,0,681,7,6,0,2839,5,0
170968,X.X.X.X,18987904,2941610,2852118,249804,0,838,7,4,0,3511,5,0
180973,X.X.X.X,21951747,3360949,2554699,223029,0,935,7,4,0,4091,5,0
190977,X.X.X.X,24644738,3737562,2317003,199457,0,964,7,4,0,4670,5,0
201035,X.X.X.X,28132129,4213733,2980927,252081,0,984,7,4,0,5408,5,0
211049,X.X.X.X,31159662,4627740,2588563,219109,0,1004,7,4,0,6083,5,0
221084,X.X.X.X,33768791,4983893,2226996,188463,0,1024,7,4,0,6686,5,0
231136,X.X.X.X,37131162,5446282,2878173,244827,0,1044,7,4,0,7401,5,0
241194,X.X.X.X,40225053,5877984,2664555,228492,0,1064,7,4,0,8127,5,0
251195,X.X.X.X,43335014,6298979,2648803,222825,0,1084,7,4,0,8824,5,0
261196,X.X.X.X,47024935,6809610,3171198,270455,0,1111,7,4,0,9629,5,0
271250,X.X.X.X,50606241,7296989,3054270,258111,0,1132,7,6,0,10410,5,0
281302,X.X.X.X,53748706,7726453,2688559,227326,0,1152,7,6,0,11106,5,1
291308,X.X.X.X,57390104,8223074,3111332,262923,0,1172,7,4,0,11935,8,0
301333,X.X.X.X,60748155,8688181,2888033,246209,0,1192,7,4,0,12699,8,0
311371,X.X.X.X,64512314,9189305,3189266,265290,0,1212,7,4,0,13537,8,0
321396,X.X.X.X,68364570,9738297,3354940,290630,0,1232,7,4,0,14470,8,0
331401,X.X.X.X,72112824,10265563,3244922,279160,0,1252,7,4,0,15341,8,0
341419,X.X.X.X,75793212,10786474,3194554,275781,0,1272,7,3,0,16239,8,0
351451,X.X.X.X,79981679,11371112,3633973,309484,0,1292,7,3,0,17242,8,0
361481,X.X.X.X,83758583,11909924,3305536,285194,0,1312,7,3,0,18112,8,0
371532,X.X.X.X,87364013,12431539,3172327,276061,0,1332,7,3,0,18974,8,0
381565,X.X.X.X,91886205,13055017,3895506,330068,0,1352,11,9,0,20040,8,0
391573,X.X.X.X,95656268,13616669,3354081,297234,0,1372,7,6,0,20946,8,0
401581,X.X.X.X,99413998,14167851,3320683,291970,2,1401,7,6,0,21835,8,0
411584,X.X.X.X,103795717,14785853,3813299,327566,2,1443,12,10,0,22853,8,0
421586,X.X.X.X,107541378,15332511,3315077,289366,2,1465,7,6,0,23637,8,0
431589,X.X.X.X,111357138,15873320,3321217,286549,2,1500,9,7,0,24409,8,0
441595,X.X.X.X,115642127,16472128,3709387,317600,3,1553,8,6,0,25351,8,0
451596,X.X.X.X,119376075,17038831,3339892,300259,5,1594,8,9,0,26198,8,0
461601,X.X.X.X,122655774,17492976,2823562,240979,6,1648,14,7,0,26864,8,0
471604,X.X.X.X,126816754,18070901,3595611,306207,8,1687,11,12,0,27776,8,0
481606,X.X.X.X,128866160,18371345,1800189,159586,11,1754,11,11,0,28167,8,0
491611,X.X.X.X,130572548,18641502,1545882,143147,14,1794,14,11,0,28512,8,0
501612,X.X.X.X,134285472,19156661,3201772,272879,15,1823,12,11,0,29350,9,0
511615,X.X.X.X,136972400,19561714,2390320,214757,16,1864,11,9,0,29978,9,0
521619,X.X.X.X,139336793,19921361,2110835,190823,16,1911,11,9,0,30547,9,0
531620,X.X.X.X,142856599,20397339,3001293,252358,16,1946,16,11,0,31303,9,0
541623,X.X.X.X,146279653,20910101,3047658,271916,18,2004,14,9,0,32161,9,0
551643,X.X.X.X,148973436,21309007,2354889,211780,18,2040,10,7,0,32720,9,0
561650,X.X.X.X,151980964,21713612,2561584,214365,18,2067,14,9,0,33335,9,0
571663,X.X.X.X,155514314,22260772,3145928,290582,20,2102,8,7,0,34150,9,0
581683,X.X.X.X,159658868,22875927,3701447,325561,20,2122,7,7,0,35071,9,1
591684,X.X.X.X,165174385,23664735,4848763,417654,20,2142,13,11,0,36379,9,0
601687,X.X.X.X,170313682,24418322,4562673,398961,20,2162,11,9,0,37603,9,0
