2014-11-20T16-26-50: LogOut_File: : logfile started
2014-11-20T16-26-50: Net Status: low-level initialize success.
2014-11-20T16-26-50: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-20T16-26-50: time = time of logging
2014-11-20T16-26-50: address = address of IP address
2014-11-20T16-26-50: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-20T16-26-50: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-20T16-26-50: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-20T16-26-50: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-20T16-26-50: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-20T16-26-50: sent = number of packets sent. Spikes can indicate lag.
2014-11-20T16-26-50: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-20T16-26-50: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-20T16-26-50: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-20T16-26-50: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-20T16-26-50: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-20T16-26-50: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-20T16-26-50: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
5678,X.X.X.X,292,198,0,0,0,11,173,163,0,0,0,0
16842,X.X.X.X,9741,1744,7557,614,0,88,60,7,0,0,3,0
27240,X.X.X.X,10235,1968,0,0,0,106,60,7,0,0,3,0
37524,X.X.X.X,10703,2184,0,0,0,124,60,5,0,0,3,0
47982,X.X.X.X,11197,2412,0,0,0,143,60,5,0,0,3,0
68307,X.X.X.X,12133,2840,0,0,1,179,60,7,0,0,3,0
79111,X.X.X.X,12627,3068,0,0,1,198,60,7,0,0,3,0
89303,X.X.X.X,13107,3296,0,0,1,217,60,7,0,0,3,0
101834,X.X.X.X,14409,3636,120,60,2,240,60,6,0,0,4,0
112195,X.X.X.X,20917,4384,4650,420,2,258,60,5,0,0,9,0
122515,X.X.X.X,23595,4768,1560,120,2,276,60,4,0,0,9,0
132600,X.X.X.X,47338,5559,1166,125,2,294,60,4,0,0,12,0
142847,X.X.X.X,52162,6201,6586,330,2,312,60,4,0,0,23,0
153720,X.X.X.X,84640,7679,23312,662,2,334,60,4,0,0,27,0
163722,X.X.X.X,102564,9530,17130,302,3,356,60,7,0,0,27,0
173736,X.X.X.X,117072,11668,13326,956,3,381,60,7,0,0,27,0
183741,X.X.X.X,129437,14515,11698,1791,3,411,60,7,0,0,27,0
193754,X.X.X.X,141497,18286,10438,2381,4,446,60,7,0,0,27,0
203776,X.X.X.X,163102,23488,18811,3124,4,494,60,7,0,0,28,0
213781,X.X.X.X,181868,27182,16710,1968,4,527,60,7,0,0,28,0
223799,X.X.X.X,222832,34612,36550,4144,4,600,60,5,0,0,29,0
233808,X.X.X.X,257667,41672,30620,4070,4,660,60,5,0,0,29,0
243830,X.X.X.X,287537,47748,26236,3514,4,717,60,4,0,0,29,0
253852,X.X.X.X,310232,52791,20102,3057,4,754,60,4,0,0,29,0
263868,X.X.X.X,326288,56707,14095,2302,4,784,60,4,0,0,29,0
273877,X.X.X.X,369165,64001,38090,3792,4,827,60,5,0,0,30,0
283905,X.X.X.X,421903,70364,45308,2650,4,857,60,4,0,0,31,0
293914,X.X.X.X,465463,77229,38603,3221,4,896,60,4,0,0,31,0
303942,X.X.X.X,522473,84503,51780,3388,4,945,60,4,0,0,31,0
313944,X.X.X.X,589356,92654,60867,3785,4,993,60,6,0,0,32,0
323968,X.X.X.X,648532,100293,53841,3629,4,1043,60,6,0,0,32,0
333990,X.X.X.X,700810,108072,46405,3729,4,1095,60,4,0,0,32,0
344004,X.X.X.X,764018,115917,57618,3695,4,1143,60,4,0,0,32,0
354025,X.X.X.X,813833,123141,44602,3230,4,1179,58,4,0,0,33,0
364034,X.X.X.X,879783,131206,59979,3741,4,1231,58,4,0,0,33,0
374040,X.X.X.X,940897,139043,55335,3659,4,1278,58,4,0,0,33,0
384048,X.X.X.X,1001975,146993,55432,3778,4,1328,58,4,0,0,33,0
394049,X.X.X.X,1053116,154652,45579,3667,5,1384,58,7,0,0,33,0
404051,X.X.X.X,1102127,161902,42888,3378,5,1436,58,7,0,0,33,0
414060,X.X.X.X,1160048,169903,51864,3775,5,1491,58,7,0,0,33,0
424063,X.X.X.X,1206760,177533,41105,3684,5,1546,58,7,0,0,33,0
434072,X.X.X.X,1262523,185333,49740,3626,5,1594,58,6,0,0,33,0
444073,X.X.X.X,1309938,192711,42357,3534,5,1643,58,6,0,0,33,0
454079,X.X.X.X,1365907,200300,50669,3643,5,1698,58,6,0,0,33,0
464087,X.X.X.X,1423847,208462,52053,3926,5,1752,58,5,0,0,33,0
474096,X.X.X.X,1477946,216176,48578,3716,5,1804,58,4,0,0,33,0
484103,X.X.X.X,1524783,223074,41881,3292,6,1854,58,4,0,0,33,0
494106,X.X.X.X,1583263,230620,52988,3506,6,1895,58,4,0,0,33,0
504113,X.X.X.X,1631012,238065,42629,3663,6,1947,58,4,0,0,33,0
514117,X.X.X.X,1699191,245425,62380,3334,6,1993,58,4,0,0,33,0
524127,X.X.X.X,1763575,253340,54781,3684,7,2046,58,7,0,0,33,0
534129,X.X.X.X,1860682,261824,91355,3960,7,2100,58,7,0,0,33,0
544138,X.X.X.X,1926228,269631,59362,3577,8,2151,58,7,0,0,33,0
554139,X.X.X.X,1985483,277678,53220,3837,8,2200,58,6,0,0,33,0
564147,X.X.X.X,2031342,284833,40622,3375,8,2242,58,6,0,0,33,0
574151,X.X.X.X,2069481,291697,33192,3346,8,2294,58,5,0,0,33,0
584161,X.X.X.X,2121777,299116,47239,3673,8,2341,58,4,0,0,33,0
594168,X.X.X.X,2164287,306374,37542,3606,9,2394,58,4,0,0,33,0
604174,X.X.X.X,2216908,313449,47561,3381,9,2433,58,4,0,0,33,0
614182,X.X.X.X,2293482,321271,70264,3534,9,2479,58,4,0,0,33,0
624188,X.X.X.X,2349163,328723,50753,3568,9,2519,58,4,0,0,33,0
634193,X.X.X.X,2410752,336899,55605,3944,9,2575,58,4,0,0,33,0
644195,X.X.X.X,2468134,344374,51056,3570,9,2621,58,4,0,0,33,0
654199,X.X.X.X,2518830,351603,45543,3453,9,2659,58,4,0,0,33,0
664200,X.X.X.X,2564449,358562,40656,3391,10,2712,58,4,0,0,33,0
674208,X.X.X.X,2627929,366341,58217,3771,10,2755,58,4,0,0,33,0
684216,X.X.X.X,2675282,373560,42537,3663,10,2802,58,4,0,0,33,0
694225,X.X.X.X,2722554,380582,42347,3408,10,2853,58,4,0,0,33,0
704235,X.X.X.X,2795343,388670,67028,3662,10,2892,58,4,0,0,33,0
714239,X.X.X.X,2853144,396919,52325,4143,10,2951,58,4,0,0,33,0
724245,X.X.X.X,2907986,405000,49133,3989,10,3005,58,4,0,0,33,0
734254,X.X.X.X,2974357,413578,60327,4140,10,3073,58,4,0,0,33,0
744260,X.X.X.X,3017362,419335,38192,2417,10,3101,58,4,0,0,33,0
754269,X.X.X.X,3102008,424064,80360,1391,10,3121,58,4,0,0,33,0
764272,X.X.X.X,3150804,428060,43860,1161,10,3142,58,4,0,0,33,0
774273,X.X.X.X,3204601,432483,49783,1531,10,3162,58,4,0,0,33,0
784274,X.X.X.X,3258328,437022,49670,1503,10,3183,58,4,0,0,33,0
794277,X.X.X.X,3322197,443806,59147,3120,10,3218,58,4,0,0,33,0
804285,X.X.X.X,3371429,451668,43564,3708,10,3262,58,4,0,0,33,0
814293,X.X.X.X,3428558,460045,51377,4247,10,3341,58,4,0,0,33,0
824296,X.X.X.X,3479633,467552,45676,3615,10,3389,58,5,0,0,33,0
834297,X.X.X.X,3529592,474880,44854,3588,11,3444,58,5,0,0,33,0
844301,X.X.X.X,3580446,482270,45353,3528,13,3502,58,4,0,0,33,0
854309,X.X.X.X,3672735,490753,85858,3789,13,3555,58,4,0,0,33,0
864312,X.X.X.X,3714813,496834,37751,2865,13,3597,58,4,0,0,33,0
874315,X.X.X.X,3776583,501481,57637,1413,13,3616,58,4,0,0,33,0
884319,X.X.X.X,3845380,506502,63800,1600,13,3635,58,4,0,0,33,0
894333,X.X.X.X,3923151,514853,71858,3919,16,3697,58,4,0,0,33,0
904339,X.X.X.X,3971071,522126,43018,3683,16,3742,58,4,0,0,33,0
914345,X.X.X.X,4018462,526258,43456,1172,16,3763,58,4,0,0,33,0
924349,X.X.X.X,4055303,530227,33230,1273,16,3783,58,4,0,0,33,0
934357,X.X.X.X,4113011,537073,52724,3262,16,3820,58,4,0,0,33,0
944358,X.X.X.X,4169623,543274,52370,2875,16,3863,58,4,0,0,34,0
954362,X.X.X.X,4226744,550160,51970,3180,16,3906,58,4,0,0,34,0
964371,X.X.X.X,4314568,558204,81586,3596,16,3954,58,4,0,0,34,0
974372,X.X.X.X,4406055,565352,85905,3166,16,3996,58,4,0,0,34,0
984379,X.X.X.X,4453304,570913,42951,2219,16,4018,58,4,0,0,34,0
994386,X.X.X.X,4498367,578482,39593,3683,17,4065,58,4,0,0,34,0
1004387,X.X.X.X,4545070,585468,41514,3374,17,4115,58,4,0,0,34,0
1014393,X.X.X.X,4579091,592066,29348,3274,17,4164,58,4,0,0,34,0
1024396,X.X.X.X,4624986,599061,40951,3449,17,4211,59,4,0,0,34,0
1034401,X.X.X.X,4680678,606350,49593,3335,18,4257,59,4,0,0,35,0
1044410,X.X.X.X,4758529,614985,71465,4077,19,4302,59,4,0,0,35,0
1054417,X.X.X.X,4821334,622665,56892,3532,20,4345,59,4,0,0,35,0
1064427,X.X.X.X,4888563,630731,61157,3770,21,4390,59,4,0,0,35,0
1074431,X.X.X.X,4949438,639795,54501,4496,21,4460,59,4,0,0,35,0
1084433,X.X.X.X,5022149,648327,66286,3894,22,4510,59,4,0,0,36,0
1094441,X.X.X.X,5082667,653931,55685,2088,22,4528,59,4,0,0,36,0
1104450,X.X.X.X,5116360,658295,30046,1600,22,4546,59,4,0,0,36,0
1114454,X.X.X.X,5166727,663306,186,0,22,4565,59,4,0,0,36,0
1124461,X.X.X.X,5203595,667943,32526,1701,22,4587,59,4,0,0,36,0
1134464,X.X.X.X,5255101,673512,46869,2231,22,4612,60,6,0,0,36,0
1144469,X.X.X.X,5301959,681364,41217,3872,22,4656,60,5,0,0,36,0
1154476,X.X.X.X,5358847,688517,51335,3335,22,4698,60,4,0,0,36,0
1164478,X.X.X.X,5441932,696842,75576,3631,22,4748,60,4,0,0,36,0
1174486,X.X.X.X,5518382,704452,70514,3366,22,4783,60,4,0,0,36,0
