2014-11-12T10-37-11: LogOut_File: : logfile started
2014-11-12T10-37-11: Net Status: low-level initialize success.
2014-11-12T10-37-11: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-12T10-37-11: time = time of logging
2014-11-12T10-37-11: address = address of IP address
2014-11-12T10-37-11: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-12T10-37-11: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-12T10-37-11: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-12T10-37-11: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-12T10-37-11: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-12T10-37-11: sent = number of packets sent. Spikes can indicate lag.
2014-11-12T10-37-11: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-12T10-37-11: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-12T10-37-11: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-12T10-37-11: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-12T10-37-11: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-12T10-37-11: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-12T10-37-11: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1320,X.X.X.X,76,110,0,0,0,3,395,160,0,0,0,0
11522,X.X.X.X,8733,1397,7511,629,0,34,61,13,0,0,7,0
21543,X.X.X.X,10763,2038,1292,335,1,53,58,6,0,0,8,0
31750,X.X.X.X,13189,3014,1590,600,1,71,58,5,0,0,8,0
41957,X.X.X.X,17227,4002,2792,600,1,90,58,4,0,0,8,0
52274,X.X.X.X,22315,4978,3600,600,1,108,58,3,0,0,9,0
62481,X.X.X.X,28439,5962,4380,600,1,126,58,4,0,0,9,0
72702,X.X.X.X,35809,6938,5340,600,1,144,58,4,0,0,9,0
82911,X.X.X.X,43337,7918,5460,600,1,163,58,4,0,0,9,0
93120,X.X.X.X,50841,8894,5430,600,1,181,58,4,0,0,9,0
103327,X.X.X.X,58355,9878,5460,600,1,199,58,4,0,0,9,0
113534,X.X.X.X,65711,10854,5340,600,1,217,58,4,0,0,9,0
123741,X.X.X.X,73233,11830,5460,600,2,236,58,4,0,0,9,0
133957,X.X.X.X,80663,12810,5400,600,2,255,58,4,0,0,9,0
144164,X.X.X.X,87981,13794,5310,600,2,273,58,4,0,0,9,0
154376,X.X.X.X,95495,14770,5460,600,2,291,58,4,0,0,9,0
164588,X.X.X.X,102935,15754,5400,600,2,309,58,4,0,0,9,0
174798,X.X.X.X,110345,16734,5370,600,2,328,58,4,0,0,9,0
185005,X.X.X.X,117801,17710,5400,600,2,346,58,4,0,0,9,0
195228,X.X.X.X,125161,18694,5340,600,2,364,58,4,0,0,9,0
205655,X.X.X.X,132605,19674,5400,600,2,383,58,4,0,0,9,0
215865,X.X.X.X,140083,20658,5430,600,2,401,58,4,0,0,9,0
226071,X.X.X.X,147605,21634,5460,600,2,419,58,4,0,0,9,0
236459,X.X.X.X,154979,22614,5370,600,2,438,58,4,0,0,9,0
246782,X.X.X.X,173751,23796,12230,576,3,458,58,4,0,0,19,0
256869,X.X.X.X,180299,24757,9170,591,3,476,58,4,0,0,20,0
266877,X.X.X.X,199486,26791,6116,696,3,507,58,4,0,0,21,0
276883,X.X.X.X,203121,28225,2486,610,3,534,58,4,0,0,21,0
