2014-11-21T16-39-00: LogOut_File: : logfile started
2014-11-21T16-39-00: Net Status: low-level initialize success.
2014-11-21T16-39-00: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-21T16-39-00: time = time of logging
2014-11-21T16-39-00: address = address of IP address
2014-11-21T16-39-00: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-21T16-39-00: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-21T16-39-00: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-21T16-39-00: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-21T16-39-00: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-21T16-39-00: sent = number of packets sent. Spikes can indicate lag.
2014-11-21T16-39-00: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-21T16-39-00: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-21T16-39-00: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-21T16-39-00: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-21T16-39-00: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-21T16-39-00: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-21T16-39-00: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
14827,X.X.X.X,720,398,0,0,0,27,72,28,0,0,0,0
31265,X.X.X.X,10386,1621,6732,469,2,67,61,7,0,0,6,0
41351,X.X.X.X,12228,1913,2042,60,2,85,61,7,0,0,10,0
51361,X.X.X.X,15132,2357,1710,180,2,103,61,7,0,0,10,0
61736,X.X.X.X,21234,3105,3960,420,2,121,61,5,0,0,10,0
72115,X.X.X.X,27726,3789,4200,360,2,140,61,4,0,0,10,0
83111,X.X.X.X,29334,4131,780,90,2,159,62,5,0,0,10,0
93513,X.X.X.X,30294,4359,330,0,2,178,61,4,0,0,10,0
103864,X.X.X.X,30762,4575,0,0,2,196,61,4,0,0,10,0
113916,X.X.X.X,31230,4791,0,0,2,214,61,4,0,0,10,0
124197,X.X.X.X,31698,5007,0,0,2,232,61,4,0,0,10,0
134866,X.X.X.X,32192,5235,0,0,2,251,61,4,0,0,10,0
145554,X.X.X.X,32672,5459,0,0,2,269,61,5,0,0,10,0
155598,X.X.X.X,33140,5675,0,0,2,287,61,4,0,0,10,0
165762,X.X.X.X,37072,6282,2430,305,2,306,61,4,0,0,10,0
175972,X.X.X.X,45114,7266,5340,600,2,324,61,4,0,0,10,0
186412,X.X.X.X,53202,8242,5400,600,2,342,61,4,0,0,10,0
196455,X.X.X.X,61272,9226,5400,600,2,360,61,5,0,0,10,0
206503,X.X.X.X,69736,10210,5640,600,2,378,61,5,0,0,10,0
216546,X.X.X.X,77818,11178,5400,600,2,396,61,5,0,0,10,0
226586,X.X.X.X,85722,12150,5280,600,2,413,61,5,0,0,10,0
236629,X.X.X.X,93558,13126,5220,600,2,431,61,5,0,0,10,0
246675,X.X.X.X,101544,14102,5310,600,2,449,61,5,0,0,10,0
256721,X.X.X.X,109436,15086,5250,600,2,467,61,5,0,0,10,0
266999,X.X.X.X,117596,16062,5400,600,2,485,61,7,0,0,10,0
277209,X.X.X.X,125586,17038,5280,600,2,503,61,7,0,0,10,0
