2014-11-14T12-41-40: LogOut_File: : logfile started
2014-11-14T12-41-40: Net Status: low-level initialize success.
2014-11-14T12-41-40: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-14T12-41-40: time = time of logging
2014-11-14T12-41-40: address = address of IP address
2014-11-14T12-41-40: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-14T12-41-40: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-14T12-41-40: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-14T12-41-40: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-14T12-41-40: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-14T12-41-40: sent = number of packets sent. Spikes can indicate lag.
2014-11-14T12-41-40: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-14T12-41-40: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-14T12-41-40: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-14T12-41-40: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-14T12-41-40: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-14T12-41-40: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-14T12-41-40: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1349,X.X.X.X,76,110,0,0,0,3,397,158,0,0,0,0
12546,X.X.X.X,8715,1199,7487,459,0,38,62,8,0,0,7,0
23124,X.X.X.X,9399,1544,212,95,0,56,61,7,0,0,8,0
33285,X.X.X.X,13685,2482,3060,570,0,74,61,7,0,0,9,0
43341,X.X.X.X,19373,3458,4050,600,0,92,61,7,0,0,9,0
53399,X.X.X.X,25801,4434,4650,600,0,110,61,7,0,0,9,0
63458,X.X.X.X,32531,5410,4860,600,0,128,61,5,0,0,9,0
73513,X.X.X.X,39351,6386,4920,600,0,146,61,5,0,0,9,0
83595,X.X.X.X,68051,7748,5758,570,0,164,61,6,0,0,17,0
93596,X.X.X.X,94404,9340,45272,668,1,188,61,5,0,0,20,0
103603,X.X.X.X,101996,10840,6421,612,2,212,61,5,0,0,20,0
113604,X.X.X.X,109506,13291,6162,1441,2,247,61,5,0,0,20,0
123610,X.X.X.X,113952,16276,1000,898,6,286,64,13,0,0,20,0
133612,X.X.X.X,117287,18329,2323,1301,6,312,61,7,0,0,20,0
143613,X.X.X.X,122163,22196,3113,2489,6,350,61,7,0,0,20,0
153619,X.X.X.X,128916,26241,4918,2639,6,397,61,6,0,0,21,0
163625,X.X.X.X,136747,30192,5849,2411,6,440,61,4,0,0,22,0
173634,X.X.X.X,153286,35666,13644,3262,6,490,61,4,0,0,22,0
183643,X.X.X.X,184691,42128,28212,3932,6,545,61,4,0,0,23,0
193654,X.X.X.X,207983,48079,20186,3525,6,592,61,4,0,0,24,0
203665,X.X.X.X,229611,53073,19120,2938,7,632,61,4,0,0,24,0
213674,X.X.X.X,275838,59415,42330,3140,7,677,61,4,0,0,24,0
223675,X.X.X.X,312170,67406,31503,3995,7,731,61,4,0,0,24,0
233683,X.X.X.X,359610,75366,42455,3858,7,788,61,5,0,0,25,0
243689,X.X.X.X,418590,83545,31699,1659,7,844,61,4,0,0,26,0
253702,X.X.X.X,469312,92076,45532,4125,7,901,61,4,0,0,26,0
263706,X.X.X.X,517292,99734,43375,3740,7,952,61,4,0,0,26,0
273714,X.X.X.X,579095,107921,56374,3853,7,1009,61,5,0,0,27,0
283720,X.X.X.X,640982,116785,56743,4234,7,1066,61,4,0,0,28,0
293729,X.X.X.X,703868,125201,57048,3910,7,1120,61,4,0,0,29,0
303732,X.X.X.X,781194,133759,67240,3888,13,1179,98,64,0,0,29,0
313737,X.X.X.X,842256,142380,55753,4207,13,1236,61,6,0,0,29,0
323740,X.X.X.X,891890,150061,44913,3799,14,1288,61,4,0,0,29,0
333753,X.X.X.X,942041,157717,45199,3724,14,1338,61,4,0,0,29,0
343754,X.X.X.X,1010343,166256,63156,3935,15,1392,61,4,0,0,30,0
353766,X.X.X.X,1056188,174033,39905,3847,15,1443,61,4,0,0,31,0
363773,X.X.X.X,1114229,181605,20538,1565,15,1486,61,4,0,0,32,0
373787,X.X.X.X,1174274,190209,54962,4086,15,1550,61,4,0,0,33,0
383799,X.X.X.X,1245446,199324,65688,4441,17,1625,62,9,0,0,34,0
393812,X.X.X.X,1308182,206770,57531,3146,17,1654,61,6,0,0,35,0
403813,X.X.X.X,1377163,212606,64592,1974,17,1674,61,5,0,0,35,0
413822,X.X.X.X,1414098,217589,33193,1851,18,1699,61,5,0,0,35,0
423826,X.X.X.X,1476282,223885,57734,2442,18,1718,61,5,0,0,35,0
433840,X.X.X.X,1530265,228133,50197,1172,18,1741,61,4,0,0,35,0
443850,X.X.X.X,1574564,234340,39705,2487,18,1765,61,5,0,0,35,0
453856,X.X.X.X,1630767,240814,51397,2446,18,1784,61,4,0,0,35,0
463859,X.X.X.X,1681046,245211,46779,1285,18,1803,61,4,0,0,36,0
473868,X.X.X.X,1726123,252609,40123,3396,18,1843,61,4,0,0,36,0
483873,X.X.X.X,1777322,260392,23197,1538,18,1892,61,4,0,0,36,0
493874,X.X.X.X,1816115,268012,33979,3674,18,1943,61,4,0,0,36,0
503875,X.X.X.X,1863734,275836,42339,3706,18,1990,61,4,0,0,37,0
513884,X.X.X.X,1931278,284288,62271,4048,18,2044,61,4,0,0,37,0
523891,X.X.X.X,1996176,292675,59873,3835,18,2091,61,4,0,0,38,0
533892,X.X.X.X,2054662,301060,53279,4141,20,2159,61,5,0,0,38,0
543903,X.X.X.X,2130617,309518,70866,3962,20,2206,61,4,0,0,39,0
553917,X.X.X.X,2184644,318328,46444,4122,23,2259,61,7,0,0,39,0
563926,X.X.X.X,2230553,326353,40917,3935,23,2307,61,7,0,0,39,0
573932,X.X.X.X,2303260,335094,67226,4173,23,2355,61,4,0,0,39,0
583940,X.X.X.X,2362895,343305,54443,3927,23,2405,61,4,0,0,40,0
593947,X.X.X.X,2413215,351683,44679,4020,23,2457,61,5,0,0,40,0
603948,X.X.X.X,2492213,360011,37690,1808,25,2509,61,4,0,0,40,0
613950,X.X.X.X,2556634,368494,53462,4055,28,2566,65,14,0,0,41,0
623960,X.X.X.X,2593047,375678,32177,3712,28,2618,61,6,0,0,41,0
633968,X.X.X.X,2649543,383848,51332,3970,28,2674,61,5,0,0,41,0
643971,X.X.X.X,2711462,392413,56726,4023,29,2728,61,7,0,0,41,0
653981,X.X.X.X,2754317,400183,38001,3850,29,2784,61,5,0,0,41,0
663983,X.X.X.X,2817766,408409,58341,3874,29,2836,61,5,0,0,41,0
673990,X.X.X.X,2871611,416389,48778,3762,29,2879,61,4,0,0,42,0
683995,X.X.X.X,2925476,423937,49015,3634,29,2929,61,4,0,0,42,0
694005,X.X.X.X,2992455,431675,62149,3680,29,2980,61,4,0,0,42,0
704022,X.X.X.X,3056007,439484,58655,3599,30,3027,61,4,0,0,43,0
714028,X.X.X.X,3089030,446320,28861,3560,30,3077,61,4,0,0,43,0
724029,X.X.X.X,3161412,454597,34368,1771,30,3126,61,4,0,0,43,0
734035,X.X.X.X,3240812,463204,74647,4049,32,3177,61,4,0,0,43,0
744047,X.X.X.X,3284779,470589,39144,3425,32,3218,61,4,0,0,43,0
754055,X.X.X.X,3340160,478588,50288,3865,32,3271,61,4,0,0,43,0
764061,X.X.X.X,3390575,486742,45452,3900,35,3327,62,7,0,0,43,0
774070,X.X.X.X,3426780,494005,31308,3523,36,3377,61,5,0,0,43,0
784071,X.X.X.X,3495940,502127,63932,3890,36,3433,61,4,0,0,43,0
794073,X.X.X.X,3555462,510605,54393,4142,36,3489,61,4,0,0,43,0
804081,X.X.X.X,3610961,518607,50865,4190,36,3538,61,4,0,0,45,0
814088,X.X.X.X,3691008,527956,74609,4555,36,3605,61,4,0,0,45,0
824101,X.X.X.X,3741463,534844,46107,3100,36,3641,61,4,0,0,45,0
834112,X.X.X.X,3780866,541997,34958,3565,36,3687,61,4,0,0,46,0
844119,X.X.X.X,3840432,549714,24360,1592,38,3741,61,4,0,0,46,0
854122,X.X.X.X,3883740,557116,38549,3602,39,3802,61,4,0,0,46,0
864128,X.X.X.X,3944877,565112,55878,3854,39,3850,61,4,0,0,46,0
874138,X.X.X.X,4011360,573463,61434,4035,39,3899,61,4,0,0,46,0
884142,X.X.X.X,4065864,581456,49550,3865,39,3945,61,4,0,0,46,0
894151,X.X.X.X,4136733,589905,65470,4045,39,3994,61,4,0,0,47,0
904157,X.X.X.X,4230108,598969,87736,4096,40,4041,61,4,0,0,47,0
914163,X.X.X.X,4273550,604296,39641,2151,41,4070,61,7,0,0,47,0
924167,X.X.X.X,4318765,608205,41697,1041,41,4091,61,7,0,0,48,0
934176,X.X.X.X,4367842,613095,45031,1716,41,4121,61,5,0,0,49,0
944178,X.X.X.X,4413162,618617,40825,1948,41,4140,61,4,0,0,49,0
954183,X.X.X.X,4457090,625987,38768,3364,41,4181,61,4,0,0,49,0
964188,X.X.X.X,4513017,632621,24810,1427,41,4217,61,4,0,0,49,0
974196,X.X.X.X,4548646,639552,31279,3465,41,4258,61,4,0,0,49,0
984204,X.X.X.X,4598533,646895,45038,3511,41,4302,61,5,0,0,49,0
994213,X.X.X.X,4662911,653582,60013,3045,41,4339,61,4,0,0,49,0
1004214,X.X.X.X,4719316,661539,51426,3637,41,4383,61,4,0,0,50,0
1014215,X.X.X.X,4772378,669130,48162,3663,41,4427,61,4,0,0,50,0
1024222,X.X.X.X,4842577,677384,65126,3902,42,4483,61,4,0,0,50,0
1034231,X.X.X.X,4906956,685496,59027,3770,42,4532,61,5,0,0,51,0
1044235,X.X.X.X,4944564,692081,32198,3227,49,4583,89,51,0,0,51,0
1054257,X.X.X.X,5019618,699931,70122,3780,49,4663,61,5,0,0,51,0
1064260,X.X.X.X,5070312,708306,45510,4121,49,4715,61,5,0,0,51,0
1074265,X.X.X.X,5117263,715495,42588,3663,49,4759,62,7,0,0,51,0
1084279,X.X.X.X,5188434,723899,29423,1785,49,4843,61,4,0,0,51,0
1094293,X.X.X.X,5249472,731772,55910,3531,49,4882,61,4,0,0,51,0
1104299,X.X.X.X,5310212,740173,54971,4017,49,4936,61,4,0,0,52,0
1114305,X.X.X.X,5387127,748045,71798,3584,49,4978,61,3,0,0,53,0
1124318,X.X.X.X,5444754,755869,52897,3720,49,5026,61,4,0,0,53,0
1134321,X.X.X.X,5494252,762156,45443,2939,49,5064,62,5,0,0,53,0
1144322,X.X.X.X,5564617,766985,66697,1513,49,5082,61,5,0,0,53,0
1154331,X.X.X.X,5622222,771178,53221,1111,49,5102,61,5,0,0,53,0
1164332,X.X.X.X,5668833,774715,43718,929,49,5122,61,5,0,0,54,0
1174335,X.X.X.X,5734526,780197,61671,2102,49,5155,61,4,0,0,55,0
1184340,X.X.X.X,5789226,786681,50674,2998,49,5192,61,4,0,0,55,0
1194346,X.X.X.X,5829686,793524,36146,3375,49,5233,61,4,0,0,55,0
