2014-11-14T11-38-34: LogOut_File: : logfile started
2014-11-14T11-38-34: Net Status: low-level initialize success.
2014-11-14T11-38-34: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-14T11-38-34: time = time of logging
2014-11-14T11-38-34: address = address of IP address
2014-11-14T11-38-34: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-14T11-38-34: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-14T11-38-34: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-14T11-38-34: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-14T11-38-34: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-14T11-38-34: sent = number of packets sent. Spikes can indicate lag.
2014-11-14T11-38-34: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-14T11-38-34: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-14T11-38-34: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-14T11-38-34: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-14T11-38-34: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-14T11-38-34: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-14T11-38-34: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
1373,X.X.X.X,76,110,0,0,0,3,397,158,0,0,0,0
11495,X.X.X.X,8884,1237,7632,489,0,36,62,11,0,0,6,0
21788,X.X.X.X,10232,1719,784,210,0,54,60,5,0,0,8,0
31892,X.X.X.X,12200,2285,1230,270,0,72,60,5,0,0,8,0
43655,X.X.X.X,13878,2757,990,180,0,93,60,4,0,0,8,0
53764,X.X.X.X,19046,3702,3660,575,0,111,60,4,0,0,8,0
63817,X.X.X.X,24636,4678,3990,600,0,129,60,4,0,0,8,0
73871,X.X.X.X,30734,5654,4380,600,0,147,60,6,0,0,8,0
83923,X.X.X.X,37062,6630,4560,600,0,165,60,5,0,0,8,0
94215,X.X.X.X,65455,7992,5665,570,0,183,60,4,0,0,14,0
104375,X.X.X.X,72471,8927,25542,567,1,203,60,4,0,0,22,0
114377,X.X.X.X,99214,10418,25613,535,1,228,60,4,0,0,23,0
124380,X.X.X.X,105045,11593,2283,324,1,249,60,4,0,0,23,0
134387,X.X.X.X,112051,13107,5860,636,1,272,60,4,0,0,23,0
144388,X.X.X.X,117784,16755,4057,2394,1,313,60,4,0,0,24,0
154392,X.X.X.X,121651,19037,2615,1380,1,342,60,4,0,0,24,0
164395,X.X.X.X,125143,19992,2581,317,1,362,60,4,0,0,24,0
174397,X.X.X.X,127678,20844,1684,244,1,381,60,4,0,0,24,0
184399,X.X.X.X,129860,21608,1384,194,1,399,60,4,0,0,24,0
194404,X.X.X.X,132756,23553,1766,1107,1,425,60,4,0,0,24,0
204406,X.X.X.X,144239,26521,9504,1816,1,464,60,6,0,0,24,0
214412,X.X.X.X,147079,27868,1954,685,1,483,60,6,0,0,24,0
224420,X.X.X.X,161225,31207,12015,1679,1,510,58,7,0,0,24,0
234422,X.X.X.X,204407,37474,39231,2991,1,563,58,7,0,0,24,0
244429,X.X.X.X,246647,44626,22694,2186,1,600,58,6,0,0,24,0
254435,X.X.X.X,291024,52299,39606,3709,1,650,58,5,0,0,24,0
264443,X.X.X.X,350159,60029,54172,3610,1,702,58,4,0,0,24,0
274447,X.X.X.X,398265,67779,43248,3704,1,755,58,4,0,0,24,0
284460,X.X.X.X,463400,76246,59145,4023,1,812,58,4,0,0,24,0
294472,X.X.X.X,523988,84511,54301,3785,1,864,58,4,0,0,24,0
304473,X.X.X.X,588675,92244,60502,3589,1,915,58,4,0,0,24,0
314479,X.X.X.X,639487,100099,45833,3733,1,964,58,4,0,0,24,0
324486,X.X.X.X,708790,108311,63887,3770,1,1012,58,4,0,0,25,0
334489,X.X.X.X,769512,115675,56109,3284,1,1055,58,4,0,0,25,0
344498,X.X.X.X,813530,122997,38783,3404,1,1095,58,4,0,0,25,0
354505,X.X.X.X,877072,130932,58473,3761,1,1148,58,4,0,0,26,0
364512,X.X.X.X,929097,138644,27737,2231,1,1201,58,4,0,0,26,0
374523,X.X.X.X,979122,146329,44977,3653,1,1249,58,4,0,0,27,0
384526,X.X.X.X,1037435,154062,53414,3705,2,1304,58,7,0,0,27,0
394536,X.X.X.X,1078301,161645,35777,3691,2,1358,58,7,0,0,27,0
404540,X.X.X.X,1131635,170237,48013,4248,2,1418,58,6,0,0,27,0
414551,X.X.X.X,1189594,178162,52878,3707,2,1467,58,6,0,0,27,0
424552,X.X.X.X,1237361,185314,42859,3348,2,1518,58,6,0,0,27,0
434556,X.X.X.X,1302704,193880,59890,4110,2,1585,58,4,0,0,28,0
