2014-11-22T19-14-06: LogOut_File: : logfile started
2014-11-22T19-14-06: Net Status: low-level initialize success.
2014-11-22T19-14-06: Note that this new version (12/19/2011) has reduced the frequency of updates so the numbers will be larger
2014-11-22T19-14-06: time = time of logging
2014-11-22T19-14-06: address = address of IP address
2014-11-22T19-14-06: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2014-11-22T19-14-06: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2014-11-22T19-14-06: app_ctos = client to server bytes delta excluding overheads (app data only)
2014-11-22T19-14-06: app_stoc = server to client bytes delta excluding overheads (app data only)
2014-11-22T19-14-06: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2014-11-22T19-14-06: sent = number of packets sent. Spikes can indicate lag.
2014-11-22T19-14-06: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2014-11-22T19-14-06: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2014-11-22T19-14-06: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2014-11-22T19-14-06: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2014-11-22T19-14-06: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2014-11-22T19-14-06: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2014-11-22T19-14-06: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)]
3593,X.X.X.X,200,158,0,0,0,7,264,208,0,0,0,0
13862,X.X.X.X,11264,2116,8629,894,0,101,60,4,0,0,10,0
23986,X.X.X.X,12204,2332,330,0,0,119,60,4,0,0,10,0
34139,X.X.X.X,12672,2548,0,0,0,137,60,4,0,0,10,0
44539,X.X.X.X,13164,2780,0,0,1,156,60,4,0,0,10,0
54583,X.X.X.X,13632,2996,0,0,1,174,60,4,0,0,10,0
64655,X.X.X.X,14868,3299,540,65,1,192,60,4,0,0,11,0
75119,X.X.X.X,43769,4620,22002,537,1,212,60,4,0,0,24,0
85124,X.X.X.X,92667,8006,51504,1670,1,243,60,4,0,0,27,0
95130,X.X.X.X,105869,10020,12519,1066,1,271,60,4,0,0,27,0
105131,X.X.X.X,120297,12740,13098,1550,2,303,60,7,0,0,27,0
115133,X.X.X.X,134641,16154,2798,526,2,340,60,5,0,0,27,0
125140,X.X.X.X,145792,19665,9722,2213,2,380,60,4,0,0,28,0
135142,X.X.X.X,155748,22819,8819,1986,2,414,60,4,0,0,28,0
145143,X.X.X.X,164744,25277,8238,1484,2,444,60,4,0,0,28,0
155147,X.X.X.X,173394,27672,7961,1503,2,475,60,4,0,0,28,0
165152,X.X.X.X,182512,30361,8315,1703,2,508,60,5,0,0,28,0
175155,X.X.X.X,200346,34202,15781,2403,3,556,60,4,0,0,28,0
185159,X.X.X.X,213245,37229,11593,1777,4,597,60,6,0,0,28,0
195166,X.X.X.X,244334,42436,27804,2781,4,651,61,7,0,0,30,0
205173,X.X.X.X,297320,48935,48615,3111,4,693,60,4,0,0,30,0
